,NC Number,Initiation Date,Initial Failure Mode,Disposition,Lot Number,Dispositioned Quantity,Product,Client Name,,Department,Disposition Completed,Disposition in Execution,Closed Date,Disposition Completed Date,ea Cost,Cost,IFM Description,IFM Inspection,IFM Process,Created Date,Discovery/Plant Area,Root Cause,Root Cause Description,Status,Value Stream
159,NC-IL081-31527,2021-05-07 00:00:00,SFF-P-V-Numbering 1,Accept,21D14963X,4000,8881112059,,,Quality,Yes,Yes,2021-05-17 20:12:31.743000,2021-05-17 00:00:00,61.8,247200.0,Type 1: Missing 1 or more numeral(s),,,2021-05-07,S7N,Printer Malfunction,"AM-224 was found to be producing barrels with missing print due to print pad being damaged from the barrels jamming under print pad which was coming in from infeed off of the star wheel. Additionally, the set screw kept working its way loose.",CLOSED,Syringe
160,NC-IL081-31827,2021-05-21 00:00:00,SFF-PPHP-V-Lot Number 1,Accept,21D20963X,116320,8881512878,,,Quality,Yes,Yes,2021-07-08 13:54:51.180000,2021-07-08 00:00:00,102.1,11876272.0,Missing Print on the Cap,,,2021-05-21,S2P,Dirty Printer,"Side A was down, and prior to restarting the cartridge was not cleaned per the standard work to ensure it was not dried out from being down.",CLOSED,Syringe
161,NC-IL081-31827,2021-05-21 00:00:00,SFF-PPHP-V-Lot Number 1,Reject,21D20963X,13760,8881512878,,,Quality,Yes,Yes,2021-07-08 13:54:51.180000,2021-07-08 00:00:00,102.1,1404896.0,Missing Print on the Cap,,,2021-05-21,S2P,Dirty Printer,"Side A was down, and prior to restarting the cartridge was not cleaned per the standard work to ensure it was not dried out from being down.",CLOSED,Syringe
162,NC-IL081-31841,2021-05-21 00:00:00,"CFF-V-Blisters, Bubbles and Voids",Accept,21C35163,9060,89671,,,Quality,Yes,Yes,2021-06-17 16:13:25.743000,2021-06-17 00:00:00,41.8,378708.0,Single bubble greater than or equal to 0.080”; Up to 3 bubbles between 0.060 and 0.080”; Up to 4 bubbles less than or equal to 0.060”; Up to 8 bubbles less than 0.030”; Living Hinge = Reject All,Visual,Molding,2021-05-21,C81,Machine Failure,Machine Failure,CLOSED,Container
163,NC-IL081-31841,2021-05-21 00:00:00,"CFF-V-Blisters, Bubbles and Voids",Reject,21C35163,6620,89671,,,Quality,Yes,Yes,2021-06-17 16:13:25.743000,2021-06-17 00:00:00,41.8,276716.0,Single bubble greater than or equal to 0.080”; Up to 3 bubbles between 0.060 and 0.080”; Up to 4 bubbles less than or equal to 0.060”; Up to 8 bubbles less than 0.030”; Living Hinge = Reject All,Visual,Molding,2021-05-21,C81,Machine Failure,Machine Failure,CLOSED,Container
164,NC-IL081-31874,2021-05-24 00:00:00,CFF-V-Short,Accept,21C26963,420,8605RC,,,Quality,Yes,Yes,2021-06-01 21:06:42.013000,2021-06-01 00:00:00,57.6,24192.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-05-24,C89,Complex machine set-up,"The press went down multiple times due to a mold protection alarm. During restart, the technician raised the transfer position from 24.35 to 34.35 for at least 2 shots and then dropped it back down to 24.35 to continue running. Raising the transfer position creates shorts in the part and is done to prevent flashing the cavity on restart of the machine.",CLOSED,Container
165,NC-IL081-31874,2021-05-24 00:00:00,CFF-V-Short,Reject,21C26963,28,8605RC,,,Quality,Yes,Yes,2021-06-01 21:06:42.013000,2021-06-01 00:00:00,57.6,1612.8,Part is not completely formed; Missing plastic,Visual,Molding,2021-05-24,C89,Complex machine set-up,"The press went down multiple times due to a mold protection alarm. During restart, the technician raised the transfer position from 24.35 to 34.35 for at least 2 shots and then dropped it back down to 24.35 to continue running. Raising the transfer position creates shorts in the part and is done to prevent flashing the cavity on restart of the machine.",CLOSED,Container
166,NC-IL081-31897,2021-05-25 00:00:00,SFF-M-V-Flash/Gate 3,Accept,21E16463X,106000,4502570,,,Quality,Yes,Yes,2021-08-25 15:27:41.097000,2021-08-25 00:00:00,0.1,10600.0,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2021-05-25,S8B,Tooling/ fixture wear,Mold 58119 cavity 7E had gate string that was unable to be processed out resulting in NCR. The most probable root cause of this is the gate sticking on the cavity which resulted in string flash.,CLOSED,Syringe
167,NC-IL081-31897,2021-05-25 00:00:00,SFF-M-V-Flash/Gate 3,Reject,21E16363X,335000,4502570,,,Quality,Yes,Yes,2021-08-25 15:27:41.097000,2021-08-25 00:00:00,0.1,33500.0,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2021-05-25,S8B,Tooling/ fixture wear,Mold 58119 cavity 7E had gate string that was unable to be processed out resulting in NCR. The most probable root cause of this is the gate sticking on the cavity which resulted in string flash.,CLOSED,Syringe
168,NC-IL081-31909,2021-05-25 00:00:00,SFF-M-V-Flash/Gate 3,Accept,21E08463X,18874,8881512878,,,Quality Assurance,Yes,Yes,2021-07-14 16:45:05.920000,2021-07-14 00:00:00,102.1,1927035.4,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2021-05-25,S2D,Probe temp too high,"Injection molding press was down when defect was found at the line, per process technician the most probable cause would have been the probe temperatures too high.",CLOSED,Syringe
169,NC-IL081-31909,2021-05-25 00:00:00,SFF-M-V-Flash/Gate 3,Reject,21E08463X,2246,8881512878,,,Quality Assurance,Yes,Yes,2021-07-14 16:45:05.920000,2021-07-14 00:00:00,102.1,229316.59999999998,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2021-05-25,S2D,Probe temp too high,"Injection molding press was down when defect was found at the line, per process technician the most probable cause would have been the probe temperatures too high.",CLOSED,Syringe
170,NC-IL081-31933,2021-05-26 00:00:00,SFF-P-F-Tolerance on Graduated Capacity,Accept,21D26963X,11500,8881907102,,,Quality Assurance,Yes,Yes,2021-06-22 21:59:21.620000,2021-06-22 00:00:00,62.5,718750.0,Tolerance on Graduated Capacity,,,2021-05-27,S7N,Rail not set evenly,Back rail front end not set evenly with the back end of back rail.\n\nTransfer sprockets were pushing and lifting barrel too early\n\nGap too wide on the escapement jam trip gate,CLOSED,Syringe
171,NC-IL081-31933,2021-05-26 00:00:00,SFF-P-F-Tolerance on Graduated Capacity,Reject,21D26963X,17000,8881907102,,,Quality Assurance,Yes,Yes,2021-06-22 21:59:21.620000,2021-06-22 00:00:00,62.5,1062500.0,Tolerance on Graduated Capacity,,,2021-05-27,S7N,Rail not set evenly,Back rail front end not set evenly with the back end of back rail.\n\nTransfer sprockets were pushing and lifting barrel too early\n\nGap too wide on the escapement jam trip gate,CLOSED,Syringe
172,NC-IL081-32088,2021-06-03 00:00:00,SFF-PPHP-V-Lot Number 1,Accept,21E23063X,56890,8881512878,,,Quality,Yes,Yes,2021-06-22 18:39:30.853000,2021-06-22 00:00:00,102.1,5808469.0,Missing Print on the Cap,,,2021-06-03,S3P,Incorrect Setup,The packer lost its programmed lot information for the cap printer due to being shut down. The Cell Tech reprogrammed the packer and the incorrect description was selected. Upon restart the information was not verified against lot packet and a verification was not performed as required in GS20003063.,CLOSED,Syringe
173,NC-IL081-32088,2021-06-03 00:00:00,SFF-PPHP-V-Lot Number 1,Reject,21E23163X,4320,8881512878,,,Quality,Yes,Yes,2021-06-22 18:39:30.853000,2021-06-22 00:00:00,102.1,441072.0,Missing Print on the Cap,,,2021-06-03,S3P,Incorrect Setup,The packer lost its programmed lot information for the cap printer due to being shut down. The Cell Tech reprogrammed the packer and the incorrect description was selected. Upon restart the information was not verified against lot packet and a verification was not performed as required in GS20003063.,CLOSED,Syringe
174,NC-IL081-32088,2021-06-03 00:00:00,SFF-PPHP-V-Lot Number 1,Reject,21E23063X,28070,8881512878,,,Quality,Yes,Yes,2021-06-22 18:39:30.853000,2021-06-22 00:00:00,102.1,2865947.0,Missing Print on the Cap,,,2021-06-03,S3P,Incorrect Setup,The packer lost its programmed lot information for the cap printer due to being shut down. The Cell Tech reprogrammed the packer and the incorrect description was selected. Upon restart the information was not verified against lot packet and a verification was not performed as required in GS20003063.,CLOSED,Syringe
175,NC-IL081-32090,2021-06-03 00:00:00,CFF-V-Label Verification and Barcode Verification 10,Accept,21D01163,100,8537SA,,,Quality,Yes,Yes,2021-06-18 21:28:26.403000,2021-06-18 00:00:00,20.0,2000.0,BH - Missing label,Visual,Labeling,2021-06-03,C42,Incorrect Lot Number,"The printer queue was not cleared from the computer that was used to program the labeler. The operator loaded the correct program into the computer, however the incorrect program that was in the queue made its way to the labels. This was detected by the operator and the labeler was shut off, labels with incorrect product code on them removed, and labeler was programmed with correct information. However, during this time, the press was still running until it was eventually stopped by the operator, and a few containers made its way through the production stream without labels. Upon restart, the first shot that produced parts with a short in it was not removed from the production stream.",CLOSED,Container
176,NC-IL081-32213,2021-06-08 00:00:00,SFF-SA-V-Mixed Product 2,Accept,21E09763X,500,8881907102,,,Quality,Yes,Yes,2021-06-10 16:54:37.443000,2021-06-10 00:00:00,62.5,31250.0,Mixed Product Type 2/3: Incomplete or incorrect assembly of product,,,2021-06-08,S7R,Station out of alignment,"The plunger push station most likely became not centered due to someone accidently bumping it during weekly cleaning activities. As such, the rubber tips were not fully seated down.",CLOSED,Syringe
177,NC-IL081-32281,2021-06-10 00:00:00,SFF-SA-V-Mixed Product 2,Accept,21E09963X,15500,8881907102,,,Quality,Yes,Yes,2021-06-26 15:08:41.040000,2021-06-26 00:00:00,62.5,968750.0,Mixed Product Type 2/3: Incomplete or incorrect assembly of product,,,2021-06-10,S7R,Air valve malfunction,The air pressure at the completed assembly transfer station was too high and the excess pressure caused the air to enter the barrel and move the plunger back slightly during transfer. One of the air nozzles were also found to be defective.,CLOSED,Syringe
178,NC-IL081-32403,2021-06-15 00:00:00,CFF-F-Assembly 2,Accept,21C24263,6860,8618RC,,,Quality,Yes,Yes,2021-06-26 14:39:36.180000,2021-06-26 00:00:00,44.8,307328.0,,Functional,Assembly,2021-06-15,C61,Ratio adjusted out of spec.,The Polyol was off by 1 gram. The Polyol was set at 4.7g and was supposed to be at 5.7g. This is still within the validated parameters but at the lower end and with material buildup on the head causes the material not to flow at optimal rate causing height issues.,CLOSED,Container
179,NC-IL081-32403,2021-06-15 00:00:00,CFF-F-Assembly 2,Accept,21C45063,18690,8939,,,Quality,Yes,Yes,2021-06-26 14:39:36.180000,2021-06-26 00:00:00,53.8,1005522.0,,Functional,Assembly,2021-06-15,C61,Ratio adjusted out of spec.,The Polyol was off by 1 gram. The Polyol was set at 4.7g and was supposed to be at 5.7g. This is still within the validated parameters but at the lower end and with material buildup on the head causes the material not to flow at optimal rate causing height issues.,CLOSED,Container
180,NC-IL081-32403,2021-06-15 00:00:00,CFF-F-Assembly 2,Accept,21D197226,20050,WP7417P,,,Quality,Yes,Yes,2021-06-26 14:39:36.180000,2021-06-26 00:00:00,4.6,92230.0,,Functional,Assembly,2021-06-15,C61,Ratio adjusted out of spec.,The Polyol was off by 1 gram. The Polyol was set at 4.7g and was supposed to be at 5.7g. This is still within the validated parameters but at the lower end and with material buildup on the head causes the material not to flow at optimal rate causing height issues.,CLOSED,Container
181,NC-IL081-32403,2021-06-15 00:00:00,CFF-F-Assembly 2,Reject,21D197226,950,WP7417P,,,Quality,Yes,Yes,2021-06-26 14:39:36.180000,2021-06-26 00:00:00,4.6,4370.0,,Functional,Assembly,2021-06-15,C61,Ratio adjusted out of spec.,The Polyol was off by 1 gram. The Polyol was set at 4.7g and was supposed to be at 5.7g. This is still within the validated parameters but at the lower end and with material buildup on the head causes the material not to flow at optimal rate causing height issues.,CLOSED,Container
182,NC-IL081-32531,2021-06-22 00:00:00,CFF-V-Short,Accept,21D06463,384,31323358,,,Quality,Yes,Yes,2021-07-15 21:00:23.580000,2021-07-15 00:00:00,46.2,17740.800000000003,Part is not completely formed; Missing plastic,Visual,Molding,2021-06-22,C89,Equipment variation requiring maintenance adjustments,"Press 89 is an older piece of equipment with a slow screw recovery when it is started up. When running with liquid colorant if the liquid color is turned on prior to the resin entering the screw, the screw will become coated and can cause slippage until the materials blend more homogeneously. This typically resolves itself during startup activities prior to product entering the finished good value stream.",CLOSED,Container
183,NC-IL081-32531,2021-06-22 00:00:00,CFF-V-Short,Accept,21E21463,98,8605RC,,,Quality,Yes,Yes,2021-07-15 21:00:23.580000,2021-07-15 00:00:00,57.6,5644.8,Part is not completely formed; Missing plastic,Visual,Molding,2021-06-22,C89,Equipment variation requiring maintenance adjustments,"Press 89 is an older piece of equipment with a slow screw recovery when it is started up. When running with liquid colorant if the liquid color is turned on prior to the resin entering the screw, the screw will become coated and can cause slippage until the materials blend more homogeneously. This typically resolves itself during startup activities prior to product entering the finished good value stream.",CLOSED,Container
184,NC-IL081-32531,2021-06-22 00:00:00,CFF-V-Short,Reject,21E21463,14,8605RC,,,Quality,Yes,Yes,2021-07-15 21:00:23.580000,2021-07-15 00:00:00,57.6,806.4,Part is not completely formed; Missing plastic,Visual,Molding,2021-06-22,C89,Equipment variation requiring maintenance adjustments,"Press 89 is an older piece of equipment with a slow screw recovery when it is started up. When running with liquid colorant if the liquid color is turned on prior to the resin entering the screw, the screw will become coated and can cause slippage until the materials blend more homogeneously. This typically resolves itself during startup activities prior to product entering the finished good value stream.",CLOSED,Container
185,NC-IL081-32892,2021-07-09 00:00:00,SFF-M-V-Broken/Damaged 1,Accept,21F22563X,500,8881907102,,,Quality,Yes,Yes,2021-07-21 13:43:27.273000,2021-07-21 00:00:00,62.5,31250.0,Broken or damaged product rendering it Non Functional,,,2021-07-10,S7R,Air nozzle,The air nozzle was not in the correct position and the pressure was too high,CLOSED,Syringe
186,NC-IL081-32925,2021-07-12 00:00:00,SFF-PPHP-V-Particulate,Accept,19M11563X,307200,6492739,,,Quality,Yes,Yes,2021-10-12 20:39:23.940000,2021-08-06 00:00:00,121.4,37294080.0,"Particulates and extraneous matter on outside of syringe, or present on or within unit primary packaging",,,2021-07-13,S7R,PR-Particulate Matter,Particulate Matter-MEDMFGPR,CLOSED,Syringe
187,NC-IL081-32925,2021-07-12 00:00:00,SFF-PPHP-V-Particulate,Accept,19M11663X,307200,6492739,,,Quality,Yes,Yes,2021-10-12 20:39:23.940000,2021-10-12 00:00:00,121.4,37294080.0,"Particulates and extraneous matter on outside of syringe, or present on or within unit primary packaging",,,2021-07-13,S7R,PR-Particulate Matter,Particulate Matter-MEDMFGPR,CLOSED,Syringe
188,NC-IL081-32926,2021-07-12 00:00:00,SFF-SA-V-Damaged Components 1,Accept,19M11663X,307200,6492739,,,Quality,Yes,Yes,2021-08-06 21:21:39.310000,2021-08-06 00:00:00,121.4,37294080.0,Damaged Components Type 1: Damaged product/components (non-functional),,,2021-07-13,,Conveyor Speed,Conveyor Speed,CLOSED,Syringe
189,NC-IL081-33067,2021-07-17 00:00:00,CFF-D-Molding 1,Accept,21D11563,1,31143665,,,Quality,Yes,Yes,2021-08-18 14:30:30.677000,2021-08-18 00:00:00,31.3,31.3,Wall Thickness,Dimensional,Molding,2021-07-17,C67,Data Cable,Loose connection of MagnaMike wire.,CLOSED,Container
190,NC-IL081-33098,2021-07-19 00:00:00,Out of Validated Parameter - Equipment Failure,Accept,21E00963,228,31143665,,,Quality,Yes,Yes,2021-07-26 13:31:03.387000,2021-07-26 00:00:00,31.3,7136.400000000001,,Not Specified,Process,2021-07-19,C67,Fill Time set below limits,Fill Time was documented running out of validated parameters.,CLOSED,Container
191,NC-IL081-33099,2021-07-19 00:00:00,SFF-M-V-Flash/Gate 1,Accept,21G06763X,18400,5551771207,,,Quality Assurance,Yes,Yes,2021-08-17 14:12:48.140000,2021-08-17 00:00:00,32.4,596160.0,Flash Type 1: Flash in Fluid Path (Luer Tip) exceeds 1/64” (.016”). Does not meets drawing specification,,,2021-07-19,S7C,Tooling/ fixture wear,Wear on tooling causes variation,CLOSED,Syringe
192,NC-IL081-33223,2021-07-23 00:00:00,Documentation Missing,Accept,21c28363,1630,8608RC,,,Quality,Yes,Yes,2021-08-06 21:04:42.360000,2021-08-06 00:00:00,71.8,117034.0,,Not Specified,Documentation,2021-07-23,C74,Human Error,The Cell Tech failed to perform the PCR reading on the welder because they thought that another person performed it due to line coverage to support training.,CLOSED,Container
193,NC-IL081-33274,2021-07-26 00:00:00,CFF-V-Quantity per Case,Accept,21F32363,380,85121,,,Quality,Yes,Yes,2021-08-04 15:21:21.487000,2021-08-04 00:00:00,30.3,11514.0,Missing product (Containers/Lids/IFU/Other Kit items/Other Labels),Visual,Assembly,2021-07-26,C32,Human Error,"Human error.  The associate failed to follow Standard Work packing procedure, which states to place 1 IFU in the containers for this Finished Good product.",CLOSED,Container
194,NC-IL081-33470,2021-08-02 00:00:00,"CFF-V-Fill-ins, Smear, Overprint, Ink Gap/Pad, Torn Label",Accept,21G17263,1540,31156916,,,Quality,Yes,Yes,2021-08-18 15:05:09.093000,2021-08-18 00:00:00,32.6,50204.0,,Visual,Labeling,2021-08-02,C31,Low Cooling Time,The parts were not cooled enough prior to stacking inside the finished good case because conveyor speed was too fast.,CLOSED,Container
195,NC-IL081-33470,2021-08-02 00:00:00,"CFF-V-Fill-ins, Smear, Overprint, Ink Gap/Pad, Torn Label",Reject,21G17263,280,31156916,,,Quality,Yes,Yes,2021-08-18 15:05:09.093000,2021-08-18 00:00:00,32.6,9128.0,,Visual,Labeling,2021-08-02,C31,Low Cooling Time,The parts were not cooled enough prior to stacking inside the finished good case because conveyor speed was too fast.,CLOSED,Container
196,NC-IL081-33491,2021-08-03 00:00:00,CFF-V-Flash,Accept,21D23563,12260,8506SA,,,Quality,Yes,Yes,2021-08-31 15:21:58.463000,2021-08-31 00:00:00,33.5,410710.0,,Visual,Molding,2021-08-03,C19,Machine Failure,Machine Failure,CLOSED,Container
197,NC-IL081-33491,2021-08-03 00:00:00,CFF-V-Flash,Accept,21D23563 (WP8506),320,8506SA,,,Quality,Yes,Yes,2021-08-31 15:21:58.463000,2021-08-31 00:00:00,33.5,10720.0,,Visual,Molding,2021-08-03,C19,Machine Failure,Machine Failure,CLOSED,Container
198,NC-IL081-33574,2021-08-05 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Accept,21D25963,6800,8906,,,Quality,Yes,Yes,2021-08-16 14:33:43.063000,2021-08-16 00:00:00,45.9,312120.0,Product and Lot Number is incomplete or missing,Visual,Labeling,2021-08-05,C70,Operator loads Incorrect product,Operator loads Incorrect product,CLOSED,Container
199,NC-IL081-33574,2021-08-05 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Reject,21D25963,1700,8906,,,Quality,Yes,Yes,2021-08-16 14:33:43.063000,2021-08-16 00:00:00,45.9,78030.0,Product and Lot Number is incomplete or missing,Visual,Labeling,2021-08-05,C70,Operator loads Incorrect product,Operator loads Incorrect product,CLOSED,Container
200,NC-IL081-33589,2021-08-06 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Accept,21G04763,200,8933,,,Quality,Yes,Yes,2021-08-20 16:18:21.777000,2021-08-20 00:00:00,47.2,9440.0,Product and Lot Number is incomplete or missing,Visual,Labeling,2021-08-06,C67,Incorrect Setup,"The ribbon was found to be slightly out of place, appearing to have shifted during operation. It is possible that the last person who changed the ribbon did not fully seat the ribbon in position which would cause it to shift over time.",CLOSED,Container
201,NC-IL081-33589,2021-08-06 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Accept,21G04763,160,8933,,,Quality,Yes,Yes,2021-08-20 16:18:21.777000,2021-08-20 00:00:00,47.2,7552.0,Product and Lot Number is incomplete or missing,Visual,Labeling,2021-08-06,C67,Incorrect Setup,"The ribbon was found to be slightly out of place, appearing to have shifted during operation. It is possible that the last person who changed the ribbon did not fully seat the ribbon in position which would cause it to shift over time.",CLOSED,Container
202,NC-IL081-33675,2021-08-10 00:00:00,V-33 Flash out of spec (non functional area),Accept,21F197872,1425,WP7417P,,,Quality,Yes,Yes,2021-08-27 22:05:31.783000,2021-08-27 00:00:00,4.6,6554.999999999999,,Visual,Molding,2021-08-10,C61,Tool Damage,Broken lifter on tool causing the flash.,CLOSED,Container
203,NC-IL081-33682,2021-08-10 00:00:00,P-09 Calibration date overdue,Accept,21E07963,25380,8980-,,,Quality,Yes,Yes,2021-08-17 13:57:16.063000,2021-08-17 00:00:00,,,,Not Specified,Process,2021-08-11,C56,Human Error,"Human Error, new associate.",CLOSED,Container
204,NC-IL081-33860,2021-08-16 00:00:00,CFF-F-Welding,Accept,21E02463,14380,8506SA,,,Quality,Yes,Yes,2021-10-06 19:43:04.040000,2021-10-06 00:00:00,33.5,481730.0,Weld Strength ,Functional,Welding,2021-08-17,131,"Incomplete, improper weld","Incomplete, improper weld",CLOSED,Container
205,NC-IL081-33860,2021-08-16 00:00:00,CFF-F-Welding,Reject,21E02463,20,8506SA,,,Quality,Yes,Yes,2021-10-06 19:43:04.040000,2021-10-06 00:00:00,33.5,670.0,Weld Strength ,Functional,Welding,2021-08-17,131,"Incomplete, improper weld","Incomplete, improper weld",CLOSED,Container
206,NC-IL081-33992,2021-08-20 00:00:00,Documentation Incorrect/Unclear,Accept,21E197348,48896,8982CRH,,,Quality,Yes,Yes,2021-09-08 22:10:47.100000,2021-09-08 00:00:00,44.0,2151424.0,,Not Specified,Documentation,2021-08-20,C64,Human Error,Human Error,CLOSED,Container
207,NC-IL081-33992,2021-08-20 00:00:00,Documentation Incorrect/Unclear,Accept,21C40863,35860,8982CRH,,,Quality,Yes,Yes,2021-09-08 22:10:47.100000,2021-09-08 00:00:00,44.0,1577840.0,,Not Specified,Documentation,2021-08-20,C64,Human Error,Human Error,CLOSED,Container
208,NC-IL081-33992,2021-08-20 00:00:00,Documentation Incorrect/Unclear,Accept,21E197348,4480,WP8982,,,Quality,Yes,Yes,2021-09-08 22:10:47.100000,2021-09-08 00:00:00,1.0,4480.0,,Not Specified,Documentation,2021-08-20,C64,Human Error,Human Error,CLOSED,Container
209,NC-IL081-33993,2021-08-20 00:00:00,CFF-F-Welding,Accept,21E19063,3580,8506SA,,,Quality,Yes,Yes,2021-09-14 16:48:41.790000,2021-09-14 00:00:00,33.5,119930.0,Weld Strength ,Functional,Welding,2021-08-21,131,"Incomplete, improper weld","Incomplete, improper weld",CLOSED,Container
210,NC-IL081-34086,2021-08-24 00:00:00,CFF-F-Welding,Accept,21F11763,3340,8506SA,,,Quality,Yes,Yes,2021-09-22 21:39:51.963000,2021-09-22 00:00:00,33.5,111890.0,Weld Strength ,Functional,Welding,2021-08-25,131,"Incomplete, improper weld","Incomplete, improper weld",CLOSED,Container
211,NC-IL081-34134,2021-08-26 00:00:00,CFF-F-Molding 2,Accept,21F20463,25,8991,,,Quality,Yes,Yes,2021-09-29 13:13:35.213000,2021-09-29 00:00:00,36.3,907.4999999999999,Hinged Lid ,Functional,Molding,2021-08-26,C54,Human Error,The most probable Root Cause is the associate did not properly flex the hinge lid within one minute of ejection from the press.,CLOSED,Container
212,NC-IL081-34134,2021-08-26 00:00:00,CFF-F-Molding 2,Accept,21F197966,9640,WP7483,,,Quality,Yes,Yes,2021-09-29 13:13:35.213000,2021-09-29 00:00:00,1.6,15424.0,Hinged Lid ,Functional,Molding,2021-08-26,C54,Human Error,The most probable Root Cause is the associate did not properly flex the hinge lid within one minute of ejection from the press.,CLOSED,Container
213,NC-IL081-34136,2021-08-26 00:00:00,CFF-V-Label Verification and Barcode Verification 8,Accept,21F12263,240,8537SA,,,Quality,Yes,Yes,2021-10-08 16:27:41.297000,2021-10-08 00:00:00,20.0,4800.0,BH - Incorrect label placement,Visual,Labeling,2021-08-26,C46,Incorrect Labeling,The labeler programming process was not robust and allowed associates at some other workstations to program the Zebra labelers at Press 46.,CLOSED,Container
214,NC-IL081-34206,2021-08-30 00:00:00,CFF-F-Molding 7,Accept,21F24963,180,8980-,,,Quality,Yes,Yes,2021-09-21 19:21:34.693000,2021-09-21 00:00:00,,,Disengaged Rotor,Functional,Molding,2021-08-30,C56,Human Error,The most probable root cause is that the Manufacturing Associate failed to follow Step 2 of DC00035768 rev. 0 where it states to place the rotor on the lid in the fully opened position.,CLOSED,Container
215,NC-IL081-34206,2021-08-30 00:00:00,CFF-F-Molding 7,Accept,21F24963,4700,8980-,,,Quality,Yes,Yes,2021-09-21 19:21:34.693000,2021-09-21 00:00:00,,,Disengaged Rotor,Functional,Molding,2021-08-30,C56,Human Error,The most probable root cause is that the Manufacturing Associate failed to follow Step 2 of DC00035768 rev. 0 where it states to place the rotor on the lid in the fully opened position.,CLOSED,Container
216,NC-IL081-34348,2021-09-03 00:00:00,SFF-M-V-Shorts 2,Accept,21G11863X,36000,8881907102,,,Quality Assurance,Yes,Yes,2021-10-08 18:46:05.280000,2021-10-08 00:00:00,62.5,2250000.0,Shorts not affecting sterility,,,2021-09-03,S7C,Machine Failure,Machine Failure,CLOSED,Syringe
217,NC-IL081-34348,2021-09-03 00:00:00,SFF-M-V-Shorts 2,Accept,21G11763X,22000,8881907102,,,Quality Assurance,Yes,Yes,2021-10-08 18:46:05.280000,2021-10-08 00:00:00,62.5,1375000.0,Shorts not affecting sterility,,,2021-09-03,S7C,Machine Failure,Machine Failure,CLOSED,Syringe
218,NC-IL081-34348,2021-09-03 00:00:00,SFF-M-V-Shorts 2,Reject,21G11863X,2500,8881907102,,,Quality Assurance,Yes,Yes,2021-10-08 18:46:05.280000,2021-10-08 00:00:00,62.5,156250.0,Shorts not affecting sterility,,,2021-09-03,S7C,Machine Failure,Machine Failure,CLOSED,Syringe
219,NC-IL081-34424,2021-09-07 00:00:00,CFF-V-Short,Accept,21F10563,360,89651,,,Quality,Yes,Yes,2021-09-22 22:01:04.847000,2021-09-22 00:00:00,46.7,16812.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-09-07,C81,Air valve malfunction,Work order CL-3340633 was written to clean or verify valve gates on Press 24.,CLOSED,Container
220,NC-IL081-34424,2021-09-07 00:00:00,CFF-V-Short,Accept,21G198168,1872,WP8965N,,,Quality,Yes,Yes,2021-09-22 22:01:04.847000,2021-09-22 00:00:00,1.0,1872.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-09-07,C81,Air valve malfunction,Work order CL-3340633 was written to clean or verify valve gates on Press 24.,CLOSED,Container
221,NC-IL081-34424,2021-09-07 00:00:00,CFF-V-Short,Accept,21F10563,54720,89651,,,Quality,Yes,Yes,2021-09-22 22:01:04.847000,2021-09-22 00:00:00,46.7,2555424.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-09-07,C81,Air valve malfunction,Work order CL-3340633 was written to clean or verify valve gates on Press 24.,CLOSED,Container
222,NC-IL081-34424,2021-09-07 00:00:00,CFF-V-Short,Accept,21G198168,26814,WP8965N,,,Quality,Yes,Yes,2021-09-22 22:01:04.847000,2021-09-22 00:00:00,1.0,26814.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-09-07,C81,Air valve malfunction,Work order CL-3340633 was written to clean or verify valve gates on Press 24.,CLOSED,Container
223,NC-IL081-34424,2021-09-07 00:00:00,CFF-V-Short,Reject,21G198168,74,WP8965N,,,Quality,Yes,Yes,2021-09-22 22:01:04.847000,2021-09-22 00:00:00,1.0,74.0,Part is not completely formed; Missing plastic,Visual,Molding,2021-09-07,C81,Air valve malfunction,Work order CL-3340633 was written to clean or verify valve gates on Press 24.,CLOSED,Container
224,NC-IL081-34489,2021-09-09 00:00:00,CCF-V-Quantity per case,Accept,21F12863,480,1522SA,,,Quality,Yes,Yes,2021-10-08 21:35:07.473000,2021-10-08 00:00:00,33.5,16080.0,,Visual,Assembly,2021-09-09,C43B,Human Error,Human Error,CLOSED,Container
225,NC-IL081-34626,2021-09-16 00:00:00,PCR out of parameters.,Accept,21J02963,14000,8506Y,,,Quality,Yes,Yes,2021-09-30 21:12:35.753000,2021-09-30 00:00:00,43.6,610400.0,,Not Specified,Process,2021-09-16,131,Human Error,The most likely root cause is that the Cell Tech documented the Fill Time PCR reading out of parameters prior to the process being stabilized.,CLOSED,Container
